customer_id,age,tenure_months,monthly_spend,num_products,num_support_tickets,last_login_days_ago,contract_type,payment_method,region,spend_per_product,support_ticket_rate,engagement_score,high_risk_flag,is_annual,spend_tier,tenure_group,churned
C076,44,52,425.00,5,0,3,Annual,Credit Card,West,85.00,0.000,0.983,0,1,High,Mature,0
C077,30,12,130.00,2,5,60,Monthly,Bank Transfer,North,65.00,0.417,0.667,1,0,Low,New,1
C078,40,33,255.00,3,2,14,Annual,PayPal,South,85.00,0.061,0.922,0,1,Mid,Growing,0
C079,51,19,165.75,3,4,36,Monthly,Credit Card,East,55.25,0.211,0.800,0,0,Low,Growing,1
C080,34,42,330.00,4,1,9,Annual,Bank Transfer,West,82.50,0.024,0.949,0,1,High,Mature,0
C081,26,5,98.00,2,8,64,Monthly,PayPal,North,49.00,1.600,0.644,1,0,Low,New,1
C082,39,26,200.00,3,3,18,Annual,Credit Card,South,66.67,0.115,0.900,0,1,Mid,Growing,0
C083,45,50,405.00,5,0,2,Annual,Bank Transfer,East,81.00,0.000,0.989,0,1,High,Mature,0
C084,33,16,150.00,2,5,38,Monthly,Credit Card,West,75.00,0.313,0.789,0,0,Low,Growing,1
C085,29,10,120.50,2,6,56,Monthly,PayPal,North,60.25,0.600,0.689,1,0,Low,New,1
C086,42,36,280.00,3,2,12,Annual,Bank Transfer,South,93.33,0.056,0.933,0,1,Mid,Growing,0
C087,35,24,190.00,3,4,28,Monthly,Credit Card,East,63.33,0.167,0.844,0,0,Low,Growing,1
C088,48,53,435.00,5,1,4,Annual,PayPal,West,87.00,0.019,0.978,0,1,High,Mature,0
C089,37,20,170.50,3,4,34,Monthly,Bank Transfer,North,56.83,0.200,0.811,0,0,Low,Growing,1
C090,25,7,108.50,2,7,50,Monthly,Credit Card,South,54.25,1.000,0.722,1,0,Low,New,1
C091,46,43,340.00,4,1,7,Annual,Credit Card,East,85.00,0.023,0.961,0,1,High,Mature,0
C092,31,13,135.00,2,5,44,Monthly,PayPal,West,67.50,0.385,0.756,0,0,Low,New,1
C093,50,54,440.00,5,0,3,Annual,Bank Transfer,North,88.00,0.000,0.983,0,1,High,Mature,0
C094,27,8,105.00,2,8,54,Monthly,Credit Card,South,52.50,1.000,0.700,1,0,Low,New,1
C095,41,28,210.00,3,3,16,Annual,PayPal,East,70.00,0.107,0.911,0,1,Mid,Growing,0
C096,38,17,155.50,2,5,40,Monthly,Bank Transfer,West,77.75,0.294,0.778,0,0,Low,Growing,1
C097,44,37,295.00,4,1,10,Annual,Credit Card,North,73.75,0.027,0.949,0,1,High,Mature,0
C098,32,21,175.75,3,4,36,Monthly,PayPal,South,58.58,0.190,0.800,0,0,Low,Growing,1
C099,28,9,112.00,2,7,52,Monthly,Credit Card,East,56.00,0.778,0.711,1,0,Low,New,1
C100,43,44,345.00,4,1,8,Annual,Bank Transfer,West,86.25,0.023,0.956,0,1,High,Mature,0
